GeneID;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj;threshold_padj;Overexpressed;Underexpressed
AT5G46830;5,491739254;-2,970265997;1,067235898;-2,783139138;0,005383571;0,021106683;TRUE;FALSE;TRUE
AT3G42960;7,577673832;-2,375107365;0,85402948;-2,781060165;0,005418169;0,021229817;TRUE;FALSE;TRUE
AT1G03050;8,465921821;-2,726263898;0,981298083;-2,778221975;0,005465727;0,021384633;TRUE;FALSE;TRUE
AT3G03760;5,508493747;-3,404341487;1,225616954;-2,777655347;0,005475266;0,021413528;TRUE;FALSE;TRUE
AT1G19550;7,036451994;-2,463281506;0,887767802;-2,774691198;0,005525414;0,021565254;TRUE;FALSE;TRUE
AT3G59450;9,718980579;2,01359758;0,726199565;2,772788194;0,005557828;0,021662773;TRUE;TRUE;FALSE
AT4G15230;337,1194994;1,512682507;0,545693312;2,772037836;0,005570656;0,021692278;TRUE;TRUE;FALSE
AT5G07420;5,496096359;-3,401383763;1,227576838;-2,770811292;0,005591682;0,021752908;TRUE;FALSE;TRUE
AT3G52810;5,496096359;-3,401383763;1,227576838;-2,770811292;0,005591682;0,021752908;TRUE;FALSE;TRUE
AT3G46190;6,546944775;-2,563243317;0,925653419;-2,769117753;0,005620832;0,02184499;TRUE;FALSE;TRUE
AT1G75930;16,39916516;-4,101941114;1,481905561;-2,768017897;0,005639836;0,021915288;TRUE;FALSE;TRUE
AT5G11590;8,873202502;-2,168028362;0,783462204;-2,767240527;0,005653303;0,021956918;TRUE;FALSE;TRUE
AT1G23110;9,211131615;-2,116786411;0,765551812;-2,76504657;0,005691467;0,022087213;TRUE;FALSE;TRUE
AT1G28430;7,125078487;-2,728891204;0,987294267;-2,764009977;0,005709579;0,022142409;TRUE;FALSE;TRUE
AT4G02250;5,471301584;-3,395429686;1,23463042;-2,750158778;0,005956639;0,02290448;TRUE;FALSE;TRUE
AT4G37140;5,87266631;-2,726987147;0,993302644;-2,745373894;0,006044199;0,023200143;TRUE;FALSE;TRUE
AT5G04105;7,573409023;2,349889633;0,857260316;2,741162269;0,006122226;0,023443217;TRUE;TRUE;FALSE
AT3G21080;5,370761704;-2,899291471;1,058788155;-2,738311207;0,006175561;0,023636094;TRUE;FALSE;TRUE
AT5G03395;4,834325455;-3,205304157;1,170691016;-2,737959132;0,006182176;0,02365006;TRUE;FALSE;TRUE
